"","Time","County","SMR"
"743",13,"Siskiyou",0
"744",13,"Solano",0.417545975890559
"745",13,"Sonoma",0.414980737231266
"746",13,"Stanislaus",1.94267247344518
"747",13,"Sutter",0.194906382969898
"748",13,"Tehama",0
"749",13,"Trinity",0
"750",13,"Tulare",0.808393780473757
"751",13,"Tuolumne",0.393703372999901
"752",13,"Ventura",0.435057262046681
"753",13,"Yolo",1.01389200078304
"754",13,"Yuba",0
"755",14,"Alameda",0.45067979587338
"756",14,"Alpine",0
"757",14,"Amador",5.18922397649596
"758",14,"Butte",0.826340710268813
"759",14,"Calaveras",0.451457447759863
"760",14,"Colusa",1.76998175575059
"761",14,"Contra Costa",0.706645342386554
"762",14,"Del Norte",0
"763",14,"El Dorado",0.103546380096306
"764",14,"Fresno",1.45277629609354
"765",14,"Glenn",1.36258681367293
"766",14,"Humboldt",0
"767",14,"Imperial",2.39957304649772
"768",14,"Inyo",3.25062573627647
"769",14,"Kern",1.70350133178944
"770",14,"Kings",1.66148772563905
"771",14,"Lake",0.30822091387271
"772",14,"Lassen",0
"773",14,"Los Angeles",1.11497411839822
"774",14,"Madera",3.62200631031027
"775",14,"Marin",1.45666172995742
"776",14,"Mariposa",0
"777",14,"Mendocino",0.904334011186765
"778",14,"Merced",2.99132890148554
"779",14,"Modoc",0
"780",14,"Mono",0
"781",14,"Monterey",0.445579965410012
"782",14,"Napa",0.429523363156344
"783",14,"Nevada",0
"784",14,"Orange",1.25720293963852
"785",14,"Placer",0.349526244841487
"786",14,"Plumas",0
"787",14,"Riverside",1.46629245915229
"788",14,"Sacramento",0.943637697593333
"789",14,"San Benito",0.312308251910852
"790",14,"San Bernardino",1.5238974756667
"791",14,"San Diego",0.361875154100776
"792",14,"San Francisco",0.291309662605769
"793",14,"San Joaquin",2.98943584298523
"794",14,"San Luis Obispo",0.501904857337522
"795",14,"San Mateo",0.179899758903724
"796",14,"Santa Barbara",0.613367540704012
"797",14,"Santa Clara",0.203240001360415
"798",14,"Santa Cruz",0.145946510051763
"799",14,"Shasta",0.224753113995634
"800",14,"Sierra",0
"801",14,"Siskiyou",0
"802",14,"Solano",0.315049222466502
"803",14,"Sonoma",0.885664419460091
"804",14,"Stanislaus",2.20462123096954
"805",14,"Sutter",0.378159170545483
"806",14,"Tehama",0
"807",14,"Trinity",0
"808",14,"Tulare",1.3208026144976
"809",14,"Tuolumne",0.381933466482714
"810",14,"Ventura",0.398603784434565
"811",14,"Yolo",0.625915390617927
"812",14,"Yuba",0.25217049948085
"813",15,"Alameda",0.57587925529576
"814",15,"Alpine",0
"815",15,"Amador",2.99964646337194
"816",15,"Butte",1.16763465569666
"817",15,"Calaveras",0.521932659938966
"818",15,"Colusa",1.0231432557003
"819",15,"Contra Costa",0.478218681185731
"820",15,"Del Norte",0.83880817098617
"821",15,"El Dorado",0
"822",15,"Fresno",1.92589934146188
"823",15,"Glenn",0
"824",15,"Humboldt",0
"825",15,"Imperial",2.05046665932317
"826",15,"Inyo",8.76882507084258
"827",15,"Kern",1.62041552119372
"828",15,"Kings",1.47758147171108
"829",15,"Lake",0.356336045012978
"830",15,"Lassen",0
"831",15,"Los Angeles",1.1876186921088
"832",15,"Madera",2.74348416158949
"833",15,"Marin",0.797710430154646
"834",15,"Mariposa",0
"835",15,"Mendocino",1.56825895200332
"836",15,"Merced",2.17148646772318
"837",15,"Modoc",0
"838",15,"Mono",1.65574640613401
"839",15,"Monterey",0.824220267813728
"840",15,"Napa",0.165524844442162
"841",15,"Nevada",0.702539020647458
"842",15,"Orange",1.14558411834216
"843",15,"Placer",0.519543495767921
"844",15,"Plumas",0
"845",15,"Riverside",1.09578547548718
"846",15,"Sacramento",1.17940021115321
"847",15,"San Benito",0.722122882010461
"848",15,"San Bernardino",1.40734464573567
"849",15,"San Diego",0.384073735737842
"850",15,"San Francisco",0.284971792863681
"851",15,"San Joaquin",2.03821558472234
"852",15,"San Luis Obispo",0.331574407069258
"853",15,"San Mateo",0.148559420720776
"854",15,"Santa Barbara",1.06367683253999
"855",15,"Santa Clara",0.340702125552425
"856",15,"Santa Cruz",0.0843648173023875
"857",15,"Shasta",0
"858",15,"Sierra",0
"859",15,"Siskiyou",0
"860",15,"Solano",0.572361889762424
"861",15,"Sonoma",1.02392194116152
"862",15,"Stanislaus",2.83654082362453
"863",15,"Sutter",0.218596041268659
"864",15,"Tehama",0.350851871837852
"865",15,"Trinity",0
"866",15,"Tulare",1.28839596912821
"867",15,"Tuolumne",0
"868",15,"Ventura",0.515043308208297
